thumb,index,middle,ring,little,result
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
1,0,0,1,1,thumbsup
0,0,0,1,1,thumbsup
1,0,0,1,1,thumbsup
0,0,0,1,1,thumbsup
1,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,0,1,1,thumbsup
0,0,0,0,1,thumbsup
0,0,0,0,1,thumbsup
0,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,1,thumbsup
0,0,0,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,0,1,1,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,1,thumbsup
1,0,0,0,0,thumbsup
0,0,0,0,0,thumbsup
0,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,0,0,0,thumbsup
1,0,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,0,0,0,0,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,1,0,0,0,thumbsup
1,0,1,1,0,thumbsup
1,0,0,0,0,thumbsup
1,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
0,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
0,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
0,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,0,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
1,1,1,1,1,thumbsup
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,0,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
1,1,1,0,0,scissors
0,1,1,0,0,scissors
1,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
0,1,1,0,0,scissors
